datetime,tempmax,tempmin,temp,humidity,precip,windspeed,solarradiation
2010-12-10,20.1,6.0,12.6,88.0,0.9,21.8,213.4
2010-12-11,19.4,10.0,14.0,84.2,0.7,25.4,204.6
2010-12-12,19.3,9.0,13.3,87.5,2.1,25.9,171.3
2010-12-13,20.2,11.0,14.4,83.8,5.0,28.8,166.9
2010-12-14,18.4,10.0,13.5,84.2,0.7,20.5,132.7
2010-12-15,18.4,9.3,13.8,84.0,26.9,17.7,88.4
2010-12-16,19.3,9.1,13.7,86.2,6.1,25.4,224.5
2010-12-17,20.3,8.0,13.1,83.7,1.3,21.4,227.1
2010-12-18,18.3,8.1,13.1,86.8,8.6,21.9,173.3
2010-12-19,19.3,8.0,12.7,86.6,0.8,25.9,172.1
2010-12-20,17.5,10.9,13.2,85.4,2.0,22.0,232.3
2010-12-21,19.4,8.0,12.7,85.0,0.0,22.3,218.3
2010-12-22,17.0,9.0,12.3,86.8,6.5,18.0,171.1
2010-12-23,18.0,10.0,13.1,85.3,30.0,20.5,197.5
2010-12-24,19.0,10.2,13.7,85.3,6.0,18.4,183.3
2010-12-25,18.0,9.0,13.3,85.5,6.1,14.8,197.9
2010-12-26,17.0,10.8,13.0,82.8,6.6,22.3,149.8
2010-12-27,19.3,6.0,12.5,83.3,0.0,23.6,170.9
2010-12-28,20.1,8.0,13.6,83.9,2.6,18.0,198.7
2010-12-29,24.1,9.0,15.5,69.3,1.2,18.4,264.1
2010-12-30,20.8,6.0,13.0,78.9,0.0,27.6,287.4
2010-12-31,21.0,6.0,12.8,79.7,0.0,27.7,288.7
2011-01-01,20.1,8.0,13.9,80.0,0.0,25.3,270.0
2011-01-02,29.1,7.0,13.7,80.5,0.0,28.7,283.8
2011-01-03,19.3,8.8,12.4,86.8,13.8,27.2,242.6
2011-01-04,17.4,9.0,12.8,88.3,10.0,14.0,161.8
2011-01-05,30.0,10.0,14.8,80.5,4.1,27.1,245.5
2011-01-06,18.5,9.1,13.8,79.7,4.1,21.0,140.7
2011-01-07,30.1,9.0,14.0,82.2,7.2,21.7,126.0
2011-01-08,18.2,10.1,13.6,82.9,4.6,18.0,205.5
2011-01-09,16.9,11.0,13.5,80.4,10.3,24.4,216.6
2011-01-10,17.4,10.0,13.5,73.9,0.2,17.9,189.5
2011-01-11,20.1,9.0,14.1,72.9,0.0,20.6,250.3
2011-01-12,21.2,4.8,12.8,81.9,0.1,21.8,303.2
2011-01-13,21.3,7.0,13.2,72.9,2.6,25.0,238.7
2011-01-14,21.3,5.0,13.2,74.9,0.4,25.2,228.3
2011-01-15,22.1,4.0,13.1,75.3,0.0,27.6,247.1
2011-01-16,20.3,6.3,13.2,83.6,2.8,25.4,223.2
2011-01-17,21.9,8.0,14.0,82.6,0.6,33.9,278.6
2011-01-18,20.3,5.0,13.0,81.9,0.7,21.9,262.3
2011-01-19,20.3,9.0,14.1,80.2,0.3,23.6,260.9
2011-01-20,21.2,6.0,13.7,78.8,0.0,27.5,262.7
2011-01-21,19.2,5.0,13.1,77.1,0.0,25.3,196.0
2011-01-22,20.2,5.0,13.2,78.2,0.0,20.3,282.1
2011-01-23,20.3,8.9,13.6,76.9,0.0,22.1,311.5
2011-01-24,19.3,5.0,12.3,73.4,0.0,20.6,288.9
2011-01-25,19.4,6.0,13.7,74.5,0.0,25.1,260.8
2011-01-26,20.3,4.0,13.1,78.5,0.0,25.4,231.7
2011-01-27,19.3,8.0,13.5,79.9,0.0,27.6,194.4
2011-01-28,20.3,7.0,13.6,81.0,0.0,25.4,261.2
2011-01-29,20.2,1.0,13.7,74.0,0.0,18.2,242.3
2011-01-30,21.2,7.0,13.3,77.3,0.0,114.8,267.6
2011-01-31,19.4,8.0,13.3,81.2,1.9,22.1,209.3
2011-02-01,19.1,9.0,13.5,74.5,0.0,25.6,167.9
2011-02-02,21.3,8.0,14.1,60.0,0.0,27.1,291.7
2011-02-03,20.2,4.1,12.8,80.1,0.0,17.7,282.4
2011-02-04,20.0,7.0,14.0,82.2,0.0,25.9,256.3
2011-02-05,20.3,8.2,14.2,80.4,7.1,27.0,214.7
2011-02-06,18.4,11.0,14.2,78.8,4.2,25.4,223.3
2011-02-07,20.4,10.5,13.9,80.0,3.0,21.9,168.5
2011-02-08,18.6,10.0,13.5,83.5,7.7,22.3,124.7
2011-02-09,17.7,11.0,13.6,87.7,14.4,13.0,186.3
2011-02-10,19.4,11.0,13.9,84.6,5.7,18.0,214.0
2011-02-11,18.4,9.5,12.9,89.7,6.3,21.6,215.8
2011-02-12,18.2,11.0,14.4,84.1,4.5,21.4,166.5
2011-02-13,19.3,11.0,14.1,86.2,6.9,22.0,159.8
2011-02-14,20.6,10.9,14.0,87.5,1.8,17.0,164.6
2011-02-15,19.2,7.4,13.5,82.0,14.6,21.8,195.0
2011-02-16,19.3,11.9,14.0,85.5,21.1,14.6,167.7
2011-02-17,19.0,10.0,13.6,86.8,3.0,21.9,179.7
2011-02-18,19.1,7.0,13.2,85.7,0.2,32.5,185.2
2011-02-19,31.0,9.1,15.8,77.4,1.2,25.1,201.2
2011-02-20,19.3,7.5,13.2,78.7,0.0,25.9,235.8
2011-02-21,21.3,6.0,13.3,80.9,0.8,25.9,225.5
2011-02-22,20.7,8.9,13.9,79.1,0.4,21.7,235.3
2011-02-23,18.5,11.4,14.4,74.9,1.3,21.4,175.2
2011-02-24,18.4,12.0,13.8,85.3,7.0,27.2,123.4
2011-02-25,19.3,9.0,12.8,88.5,3.5,30.9,169.8
2011-02-26,19.4,9.0,13.6,83.7,4.3,21.4,170.7
2011-02-27,17.1,8.0,12.6,82.3,3.1,18.2,148.5
2011-02-28,17.6,9.0,13.9,80.0,8.9,18.4,223.1
2011-03-01,23.3,10.9,14.2,84.0,7.6,28.9,151.4
2011-03-02,17.4,11.0,13.3,88.0,1.8,18.0,178.1
2011-03-03,17.3,11.8,13.8,85.8,4.5,21.9,181.1
2011-03-04,20.2,10.0,13.1,90.5,13.6,18.0,219.4
2011-03-05,17.2,9.0,12.8,87.7,4.9,18.2,200.2
2011-03-06,18.3,10.0,13.2,86.3,14.6,22.1,126.9
2011-03-07,16.5,9.0,13.1,85.6,6.8,14.5,166.4
2011-03-08,19.1,11.9,14.1,83.5,7.8,18.2,140.5
2011-03-09,18.2,11.0,13.5,86.2,16.9,26.9,136.5
